farmer_id,full_name,gender,age,phone_number_masked,district_id,state,district,village,land_owned_hectares,preferred_language,registration_date
FARM_USR0021,Rakesh Sharma,Male,35,95XXXXX500,DIST006,Uttar Pradesh,Meerut,Shivpur,6.82,Tamil,2024-09-07
FARM_USR0022,Ramesh Yadav,Male,56,92XXXXX535,DIST012,West Bengal,Nadia,Ramnagar,2.06,Hindi,2023-03-14
FARM_USR0023,Meena Naidu,Female,31,97XXXXX097,DIST009,Bihar,Patna,Ganeshpur,1.34,Tamil,2024-04-30
FARM_USR0024,Kamla Chowdhury,Male,51,96XXXXX314,DIST016,Maharashtra,Nashik,Lakshmipuram,9.24,English,2023-05-28
FARM_USR0025,Ravi Gupta,Male,52,99XXXXX686,DIST023,Karnataka,Belagavi,Krishnapura,1.76,Hindi,2023-07-30
FARM_USR0026,Sunita Rao,Female,31,98XXXXX425,DIST018,Maharashtra,Nagpur,Vishnupur,0.57,Hindi,2025-02-15
FARM_USR0027,Anita Sharma,Male,66,93XXXXX306,DIST017,Maharashtra,Pune,Ganeshpur,1.32,Punjabi,2023-12-31
FARM_USR0028,Geeta Pillai,Male,43,97XXXXX319,DIST008,Uttar Pradesh,Varanasi,Ramnagar,0.4,Marathi,2025-04-05
FARM_USR0029,Prakash Verma,Male,34,96XXXXX350,DIST016,Maharashtra,Nashik,Ganeshpur,4.22,Hindi,2023-01-29
FARM_USR0030,Rajendra Gupta,Male,34,98XXXXX769,DIST020,Gujarat,Ahmedabad,Ganeshpur,1.31,Gujarati,2025-04-07
FARM_USR0031,Ashok Rao,Female,27,93XXXXX616,DIST004,Haryana,Karnal,Govindpur,1.01,Gujarati,2023-07-21
FARM_USR0032,Rajendra Kumar,Male,52,98XXXXX838,DIST012,West Bengal,Nadia,Anandpur,4.3,English,2024-11-07
FARM_USR0033,Prakash Nair,Male,52,92XXXXX239,DIST014,Madhya Pradesh,Bhopal,Anandpur,0.49,Tamil,2023-03-30
FARM_USR0034,Sarita Naidu,Male,51,95XXXXX811,DIST024,Karnataka,Mysuru,Shivpur,2.8,Punjabi,2023-06-24
FARM_USR0035,Ramesh Yadav,Female,59,95XXXXX927,DIST026,Andhra Pradesh,Krishna,Balrampur,0.4,Punjabi,2024-09-18
FARM_USR0036,Rajendra Rao,Female,31,96XXXXX239,DIST018,Maharashtra,Nagpur,Krishnapura,1.07,Hindi,2023-01-15
FARM_USR0037,Sarita Patel,Male,55,99XXXXX445,DIST005,Haryana,Hisar,Narayanpur,0.7,Marathi,2025-04-25
FARM_USR0038,Ramesh Gupta,Female,35,94XXXXX548,DIST017,Maharashtra,Pune,Govindpur,5.87,Tamil,2023-09-23
FARM_USR0039,Shanti Yadav,Male,25,98XXXXX254,DIST012,West Bengal,Nadia,Vishnupur,7.49,Gujarati,2024-11-09
FARM_USR0040,Usha Pillai,Male,48,99XXXXX464,DIST017,Maharashtra,Pune,Krishnapura,1.4,Punjabi,2024-06-20
FARM_USR0041,Kamla Das,Male,33,97XXXXX573,DIST001,Punjab,Ludhiana,Anandpur,3.57,Punjabi,2023-06-26
FARM_USR0042,Meena Patel,Male,57,91XXXXX234,DIST011,West Bengal,Bardhaman,Balrampur,1.58,Gujarati,2025-03-14
FARM_USR0043,Usha Singh,Male,37,93XXXXX398,DIST009,Bihar,Patna,Rampur,2.87,English,2024-06-03
FARM_USR0044,Ramesh Sharma,Male,50,94XXXXX976,DIST020,Gujarat,Ahmedabad,Sitapur,1.0,Marathi,2024-12-10
FARM_USR0045,Sunita Chowdhury,Male,54,93XXXXX391,DIST023,Karnataka,Belagavi,Sitapur,0.46,Telugu,2024-07-26
FARM_USR0046,Rakesh Das,Female,30,95XXXXX632,DIST004,Haryana,Karnal,Narayanpur,0.43,Gujarati,2023-11-20
FARM_USR0047,Deepak Mandal,Male,26,93XXXXX931,DIST022,Rajasthan,Kota,Lakshmipuram,2.48,English,2025-03-06
FARM_USR0048,Pooja Rao,Male,31,93XXXXX468,DIST005,Haryana,Hisar,Devipur,11.0,Marathi,2025-02-03
FARM_USR0049,Prakash Chowdhury,Female,32,98XXXXX188,DIST027,Tamil Nadu,Thanjavur,Govindpur,2.26,Punjabi,2024-12-24
FARM_USR0050,Sunita Naidu,Male,43,95XXXXX173,DIST007,Uttar Pradesh,Lucknow,Ganeshpur,1.2,Tamil,2023-04-05
FARM_USR0051,Ramesh Chauhan,Male,57,95XXXXX986,DIST015,Madhya Pradesh,Ujjain,Hanumangarh,8.41,Hindi,2024-01-29
FARM_USR0052,Meena Mehta,Male,54,91XXXXX717,DIST004,Haryana,Karnal,Vishnupur,2.2,Marathi,2023-04-18
FARM_USR0053,Manoj Singh,Male,33,93XXXXX284,DIST025,Andhra Pradesh,Guntur,Krishnapura,1.98,Bengali,2024-11-23
FARM_USR0054,Manoj Naidu,Male,31,96XXXXX666,DIST017,Maharashtra,Pune,Ramnagar,2.23,Gujarati,2024-12-18
FARM_USR0055,Manoj Singh,Male,66,92XXXXX158,DIST014,Madhya Pradesh,Bhopal,Vishnupur,1.64,English,2023-10-03
FARM_USR0056,Anita Sharma,Female,38,91XXXXX850,DIST020,Gujarat,Ahmedabad,Chandpur,1.42,Marathi,2023-03-10
FARM_USR0057,Anil Das,Male,22,94XXXXX443,DIST018,Maharashtra,Nagpur,Narayanpur,0.58,Telugu,2024-09-28
FARM_USR0058,Sunita Verma,Male,29,92XXXXX647,DIST009,Bihar,Patna,Rampur,2.72,Punjabi,2023-07-26
FARM_USR0059,Anita Mehta,Female,55,99XXXXX040,DIST007,Uttar Pradesh,Lucknow,Lakshmipuram,1.69,Gujarati,2024-05-27
FARM_USR0060,Manoj Rao,Male,23,93XXXXX310,DIST002,Punjab,Amritsar,Rampur,4.73,Hindi,2025-01-20
